"","SubAttribute","Value"
"1","Computer systems design and related services",2393
"2","Wholesale trade",1981
"3","Broadcasting and telecommunications",701
"4","Computer and electronic products",692
"5","Publishing industries, except internet (includes software)",598
"6","Data processing, internet publishing, and other information services",543
"7","Other retail",504
"8","Miscellaneous professional, scientific, and technical services",475
"9","Motion picture and sound recording industries",134
"10","Educational services",133
"11","Administrative and waste management services",116
"12","Food and beverage stores",87
"13","Motor vehicle and parts dealers",66
"14","Management of companies and enterprises",59
"15","Truck transportation",53
"16","Machinery",35
"17","General government",32
"18","Electrical equipment, appliances, and components",26
"19","Educational services, health care, and social assistance",24
"20","Nondurable goods",22
"21","General merchandise stores",18
"22","Nondefense",10
"23","Miscellaneous manufacturing",8
"24","Insurance carriers and related activities",7
"25","Federal Reserve banks, credit intermediation, and related activities",6
"26","National defense",5
"27","Accommodation and food service",4
"28","Fabricated metal products",4
"29","Motor vehicles, bodies and trailers, and parts",4
"30","Air transportation",3
"31","Arts, entertainment, and recreation",3
"32","Warehousing and storage",3
"33","Other transportation and support activities",2
"34","Other transportation equipment",2
"35","Securities, commodity contracts, and investments",2
"36","Construction",1
"37","Furniture and related products",1
"38","Government enterprises",1
"39","Legal services",1
"40","Nonmetallic mineral products",1
"41","Primary metals",1
"42","Real estate",1
"43","Rental and leasing services and lessors of intangible assets",1
"44","Utilities",1
"45","Wood products",1
